"date","country","region","population","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_stillsick_past_smooth"
"2020-07-30","ES","ESNC",654214,0.0345238095238095,0,0,0.00185185185185185,0.0421585258582705,0.00185184951111147
"2020-07-31","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0417338327304326,0.00185185116009607
"2020-08-01","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0413649529928947,0.00185185373824655
"2020-08-02","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0407179774152674,0.00185185367811777
"2020-08-03","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0406055947219964,0.00185185074203641
"2020-08-04","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0405251411193854,0.00185185788856451
"2020-08-05","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0404531301497406,0.00185184877638378
"2020-08-06","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0403863304994389,0.00185183787282491
"2020-08-07","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0403237483640199,0.0018518441593585
"2020-08-08","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0402643361381223,0.00185185217082195
"2020-08-09","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0402077089998357,0.00185185146048833
"2020-08-10","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0401530736867098,0.00185185153000701
"2020-08-11","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0401000907487389,0.00185185177852002
"2020-08-12","ES","ESNC",654214,0.0337837837837838,0,0,0.00185185185185185,0.0400486581583675,0.00185185177205538
"2020-08-13","ES","ESNC",654214,0.037037037037037,0,0,0.00185185185185185,0.0400261202296144,0.00185185341509426
"2020-08-14","ES","ESNC",654214,0.037037037037037,0,0,0.00185185185185185,0.040004132676066,0.00185185686343763
"2020-08-15","ES","ESNC",654214,0.037037037037037,0,0,0.00185185185185185,0.0399742682828275,0.00185185717853685
"2020-08-16","ES","ESNC",654214,0.0328125,0,0,0.0015625,0.0399254345271851,0.0015936502929618
"2020-08-17","ES","ESNC",654214,0.0328125,0,0,0.0015625,0.0398660194234202,0.00156120170633366
"2020-08-18","ES","ESNC",654214,0.0328125,0,0,0.0015625,0.0398124065933844,0.00152173075549588
"2020-08-19","ES","ESNC",654214,0.0328125,0,0,0.0015625,0.0397590549757898,0.00157065431464991
"2020-08-20","ES","ESNC",654214,0.0328125,0,0,0.0015625,0.0397055283413791,0.00157606753819197
"2020-08-21","ES","ESNC",654214,0.0328125,0,0,0.0015625,0.0396513813767142,0.00154215685527605
"2020-08-22","ES","ESNC",654214,0.0328125,0,0,0.0015625,0.0395968941773111,0.00156531342953669
"2020-08-23","ES","ESNC",654214,0.0322033898305085,0,0,0.00169491525423729,0.0395378700749214,0.00166468009566891
"2020-08-24","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0394123184601866,0.00105623610059398
"2020-08-25","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0392851186168412,4.7077136347466e-05
"2020-08-26","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0391571864548689,9.48034643598426e-09
"2020-08-27","ES","ESNC",654214,0.0229357798165138,0,0,0,0.038407778881113,2.22044604925031e-16
"2020-08-28","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0379013626073079,2.22044604925031e-16
"2020-08-29","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0375525648418278,3.31351277821258e-09
"2020-08-30","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0372999858576579,4.26975775795471e-16
"2020-08-31","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0372118465588889,2.22044604925031e-16
"2020-09-01","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0371247895629551,2.22044604925031e-16
"2020-09-02","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0370387933030377,2.22044604925031e-16
"2020-09-03","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0369538345626815,3.71535109213318e-13
"2020-09-04","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0368698923035108,2.22044604925031e-16
"2020-09-05","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0367869561818965,2.22044604925031e-16
"2020-09-06","ES","ESNC",654214,0.0229357798165138,0,0,0,0.036704994540492,2.22044604925031e-16
"2020-09-07","ES","ESNC",654214,0.0229357798165138,0,0,0,0.0366239977544025,2.22044604925031e-16
"2020-09-08","ES","ESNC",654214,0.0229357798165138,0,0,0,0.036543948680996,2.22044604925031e-16
